R1-T1
Plant No.,Total weight (g),Plant height (cm),Shoot length (cm),Root length (cm),Head diameter (cm),Stem diameter (cm),Shoot weight before removing wilted leaves (g),shoot weight after removing wilted leaves(g),Root weight (g),No. of leaves
1,243,42,13.5,28.5,24*27,1.7,210,208,33,30
2,241,54,10.5,43.5,27*27,2,200,189,41,34
3,251,62,13.5,48.5,26*26.5,2,212,208,39,34
4,200,55,13.5,41.5,26*26,2,185,183,15,26
5,200,66,14,52,29*26,2,178,174,22,25
6,209,60,13,47,23*23.5,1.5,176,171,33,27
7,252,67,16,51,25*27,2,211,205,41,25
8,229,67,13.5,53.5,25*27,2,193,188,36,23
9,232,58,13.5,44.5,25*25,1.5,195,190,37,24
10,195,48,12,36,23*24,1.5,172,165,23,30
11,246,53,14,39,26*26,2,232,228,14,25
12,203,47,12,35,25*23,1.4,185,169,18,30

R1-T2
Plant No.,Total weight (g),Plant height (cm),Shoot length (cm),Root length (cm),Head diameter (cm),Stem diameter (cm),Shoot weight before removing wilted leaves (g),shoot weight after removing wilted leaves(g),Root weight (g),No. of leaves
1,279,55,14,41,27*27,2,246,238,33,27
2,219,55,10,45,25*25,2,182,180,37,22
3,244,56,14,42,27*27,2,203,192,41,24
4,304,57,13,44,25*26,1.5,175,172,129,22
5,236,57,12,45,27*29,2,205,200,31,23
6,236,58,12,46,26*28,2,211,205,25,24
7,150,54,11,43,25*23,1.4,111,107,39,26
8,192,54,12,42,26*26,1.5,179,171,13,22
9,230,61,12.5,48.5,27*25,2,220,216,10,25
10,269,63,13,50,27*27,2,260,255,9,25
11,281,67,15,52,26*28,2,155,142,126,24
12,229,50,13,37,29*27,2,215,210,14,23

R1-T3
Plant No.,Total weight (g),Plant height (cm),Shoot length (cm),Root length (cm),Head diameter (cm),Stem diameter (cm),Shoot weight before removing wilted leaves (g),shoot weight after removing wilted leaves(g),Root weight (g),No. of leaves
1,187,55,13.5,41.5,24*25,2,156,152,31,23
2,265,63,13,50,27*28,2,234,225,31,24
3,262,60,16,44,28*27,2,234,224,28,21
4,244,63,12,51,29*30,2,210,200,34,22
5,280,58,13,45,27*26,2,262,257,18,22
6,228,54,11.5,42.5,29*27,1.8,190,184,38,21
7,305,68,19,49,29*29,2,265,260,40,23
8,209,61,13.5,47.5,25*26,2,176,173,33,21
9,241,54,13,41,27*28,2,208,200,33,26
10,207,57,11,46,26*26,2,183,173,24,20
11,232,70,12,58,28*28,2,199,190,33,32
12,174,64,12,52,24*24,1.5,150,140,24,18

R2-T1
Plant No.,Total weight (g),Plant height (cm),Shoot length (cm),Root length (cm),Head diameter (cm),Stem diameter (cm),Shoot weight before removing wilted leaves (g),shoot weight after removing wilted leaves(g),Root weight (g),No. of leaves
1,207,71,15,56,24*26,2,186,177,21,22
2,264,59,16,43,27*27,2,165,155,99,21
3,250,63,14,49,29*28,2,235,221,15,22
4,275,56,16,40,28*28,2,203,173,72,23
5,220,64,15.5,48.5,29*28,2,171,165,49,29
6,250,57,14,43,29*28,2,222,216,28,26
7,270,57,13.5,43.5,25*26,2,223,215,47,21
8,244,50,13,37,27*26,1.5,220,211,24,24
9,282,64,16,48,27*27.5,2.3,208,200,74,26
10,202,58,12,46,27*26,2,174,170,28,22
11,200,56,12,44,25*24,2,165,162,35,21
12,207,70,11.5,58.5,26*27,1.5,139,126,68,21

R2-T2
Plant No.,Total weight (g),Plant height (cm),Shoot length (cm),Root length (cm),Head diameter (cm),Stem diameter (cm),Shoot weight before removing wilted leaves (g),shoot weight after removing wilted leaves(g),Root weight (g),No. of leaves
1,270,55,14,41,27*29,2,235,230,35,43
2,292,55,12,43,27*27,2,221,215,71,40
3,193,46,13,33,29*25,1.5,162,156,31,34
4,245,53,13,40,28*28,2,204,185,41,29
5,287,64,15,49,24*29,1.5,213,210,74,32
6,238,57,15,42,27*24,2,205,202,33,34
7,258,54,15,39,26*28,2,220,218,38,34
8,234,60,14,46,27*26,2,202,200,32,35
9,235,43,11,32,24*25,2,193,180,42,31
10,273,49,11,38,28*27,2,222,224,51,46
11,254,51,13,38,29*25,2,236,229,18,31
12,235,59,13,46,24*26,2,180,174,55,30

R2-T3
Plant No.,Total weight (g),Plant height (cm),Shoot length (cm),Root length (cm),Head diameter (cm),Stem diameter (cm),Shoot weight before removing wilted leaves (g),shoot weight after removing wilted leaves(g),Root weight (g),No. of leaves
1,236,54,14,40,26*26,2,200,190,36,40
2,248,55,14,41,29*25,2,212,204,36,41
3,211,53,13,40,25*25,2,158,150,53,40
4,274,56,15.5,40.5,28*28,2,225,212,49,35
5,230,56,14,42,27*28,2,211,199,19,35
6,238,63,14,49,29*26,2,217,204,21,37
7,256,51,11,40,26*25,2,217,211,39,34
8,253,23,10,13,28*25,2,213,210,40,28
9,255,49,12,37,27*25,2,221,211,34,40
10,258,53,14,39,28*28,2,225,219,33,34
11,214,58,12,46,28*26,2,209,204,5,32
12,276,57,13,44,28*30,2,246,234,30,32
