R1-T1
Plant No.,Total weight (g),Plant height (cm),Shoot length (cm),Root length (cm),Head diameter (cm),Stem diameter (cm),Shoot weight before removing wilted leaves (g),shoot weight after removing wilted leaves(g),Root weight (g),No. of leaves
1,317,55,15,40,25*26,2,272,264,45,37,,,,,,,,,,,,,,,
2,270,50,16,34,30*25,2,248,239,22,29,,,,,,,,,,,,,,,
3,311,52,14,38,29*30,2,292,283,19,38,,,,,,,,,,,,,,,
4,360,70,17,53,30*31,2.5,300,293,60,37,,,,,,,,,,,,,,,
5,326,67,19,48,27*30,2.1,300,300,26,34,,,,,,,,,,,,,,,
6,255,58,17,41,28*29,1.8,227,222,28,33,,,,,,,,,,,,,,,
7,392,60,19,41,29*30,2,343,337,49,41,,,,,,,,,,,,,,,
8,218,43,17,26,27*27,2,184,180,34,38,,,,,,,,,,,,,,,
9,300,61,16,45,30*30,2,251,249,49,33,,,,,,,,,,,,,,,
10,327,64,18,46,28*29,2,282,282,45,41,,,,,,,,,,,,,,,
11,297,56,17,39,26*27,2,254,253,43,36,,,,,,,,,,,,,,,
12,251,44,19,25,29*28,2,200,200,51,38,,,,,,,,,,,,,,,
,302,

R2-T1
Plant No.,Total weight (g),Plant height (cm),Shoot length (cm),Root length (cm),Head diameter (cm),Stem diameter (cm),Shoot weight before removing wilted leaves (g),shoot weight after removing wilted leaves(g),Root weight (g),No. of leaves,,,,,,,,,,,,,,,
1,333,64,15,49,33*28,2,290,290,43,39,,,,,,,,,,,,,,,
2,342,64,21,43,30*28,2,302,300,40,46,,,,,,,,,,,,,,,
3,327,64,19,45,28*28,2,288,280,39,42,,,,,,,,,,,,,,,
4,324,50,19,31,30*28,2.5,282,275,42,43,,,,,,,,,,,,,,,
5,280,68,19,49,28*26,2,246,245,34,40,,,,,,,,,,,,,,,
6,368,67,20,47,28*33,2,348,347,20,46,,,,,,,,,,,,,,,
7,335,62,17.5,44.5,30*29,2,297,297,38,46,,,,,,,,,,,,,,,
8,290,72,19,53,30*32,2,260,258,30,45,,,,,,,,,,,,,,,
9,325,60,19,41,30*35,2,286,277,39,45,,,,,,,,,,,,,,,
10,347,56,19,37,30*34,2,308,308,39,40,,,,,,,,,,,,,,,
11,330,50,19,31,27*26,2,312,311,18,40,,,,,,,,,,,,,,,
12,335,56,18,38,30*29,2,290,285,45,49,,,,,,,,,,,,,,,
,328,

R3-T1
Plant No.,Total weight (g),Plant height (cm),Shoot length (cm),Root length (cm),Head diameter (cm),Stem diameter (cm),Shoot weight before removing wilted leaves (g),shoot weight after removing wilted leaves(g),Root weight (g),No. of leaves,,,,,,,,,,,,,,,
1,249,67,19,48,30*27,2,219,213,30,35,,,,,,,,,,,,,,,
2,309,50,18,32,29*28,1.8,277,276,32,43,,,,,,,,,,,,,,,
3,282,52,17,35,27*22.5,2,255,250,27,47,,,,,,,,,,,,,,,
4,320,55,19,36,27*23,2,282,281,38,44,,,,,,,,,,,,,,,
5,325,53,20,33,30*35,2,299,298,26,44,,,,,,,,,,,,,,,
6,311,62,20,42,30*33,2,275,275,36,42,,,,,,,,,,,,,,,
7,261,73,17,56,30*29,2,232,230,29,40,,,,,,,,,,,,,,,
8,249,67,16,51,30*29,2,215,215,34,40,,,,,,,,,,,,,,,
9,314,74,20,54,30*30,2,286,283,28,47,,,,,,,,,,,,,,,
