 Exp 3. Harvest Measurments 

System ,Plant No.,Plant height (cm),Shoot length (cm),Root length (cm),H.D (cm),Total weight (g),Stem diameter (cm),Shoot weight before removing wilted leaves (g) ,Shoot weight after removing wilted leaves (g) ,Root weight (g) ,No.of leaves ,,,,,,,,,,,,,,
R1T1,1,60,20,#NAME?,30*31,328,1,271,269,#NAME?,42,,,,,,,,,,,,,,
,2,60,19,#NAME?,29*31,252,1.5,244,243,#NAME?,46,,,,,,,,,,,,,,
,3,75,17,#NAME?,28*30,294,1,239,237,#NAME?,43,,,,,,,,,,,,,,
,4,100,17,#NAME?,29*29,331,1.5,295,292,#NAME?,40,,,,,,,,,,,,,,
,5,72,15,#NAME?,30*31,357,1,317,317,#NAME?,46,,,,,,,,,,,,,,
,6,76,16,#NAME?,30*29,343,1.2,305,304,#NAME?,36,,,,,,,,,,,,,,
,7,80,17,#NAME?,29*31,336,1,290,290,#NAME?,46,,,,,,,,,,,,,,
,8,54,16,#NAME?,29*29,370,1,330,324,#NAME?,49,,,,,,,,,,,,,,
,9,72,15,#NAME?,30*30,292,1.5,255,252,#NAME?,43,,,,,,,,,,,,,,
,10,65,17,#NAME?,30*32,356,1,315,300,#NAME?,44,,,,,,,,,,,,,,
,11,59,17,#NAME?,28*29,241,1,212,208,#NAME?,32,,,,,,,,,,,,,,
,12,80,16,#NAME?,30*29,295,1,261,261,#NAME?,39,,,,,,,,,,,,,,
,,71.08333333,16.83333333,#NAME?,,316.25,1.141666667,277.8333333,274.75,#NAME?,42.16666667

System ,Plant No.,Plant height (cm),Shoot length (cm),Root length (cm),H.D (cm),Total weight (g),Stem diameter (cm),Shoot weight before removing wilted leaves (g) ,Shoot weight after removing wilted leaves (g) ,Root weight (g) ,No.of leaves ,,,,,,,,,,,,,,
R2T1,1,66,18,#NAME?,30*29,307,1,271,271,#NAME?,40,,,,,,,,,,,,,,
,2,80,19,#NAME?,32*31,341,1,304,303,#NAME?,41,,,,,,,,,,,,,,
,3,77,18,#NAME?,33*32,375,1,323,330,#NAME?,45,,,,,,,,,,,,,,
,4,72,18,#NAME?,35*32,406,1,362,359,#NAME?,47,,,,,,,,,,,,,,
,5,75,20,#NAME?,29*30,354,1,310,305,#NAME?,44,,,,,,,,,,,,,,
,6,73,16,#NAME?,31*29,344,1,304,304,#NAME?,48,,,,,,,,,,,,,,
,7,71,18,#NAME?,29*31,351,1,314,313,#NAME?,45,,,,,,,,,,,,,,
,8,60,21,#NAME?,33*35,378,1,335,330,#NAME?,44,,,,,,,,,,,,,,
,9,78,21,#NAME?,29*32,371,1,333,330,#NAME?,49,,,,,,,,,,,,,,
